1,0,START,,20:20:00,,#ŽÀŒ±ŠJŽn
104,1,R1_CHECK2,REMOVE_STOP,22:09:30,,#
105,1,R1_CHECK2,REMOVE_STOP,22:12:30,,#
106,1,R1_CHECK2,ADD_STOP,22:13:30,,#
107,1,R1_CHECK2,REMOVE_STOP,22:16:30,,#
108,1,R1_CHECK2,ADD_STOP,22:17:30,,#
109,1,R1_CHECK1,ADD_STOP,20:32:00,,#
110,1,R1_CHECK1,REMOVE_STOP,20:35:00,,#
111,1,R1_CHECK1,ADD_STOP,20:36:00,,#
112,1,R1_CHECK1,REMOVE_STOP,20:39:00,,#
113,1,R1_CHECK1,ADD_STOP,20:40:00,,#
114,1,R1_CHECK1,REMOVE_STOP,20:43:00,,#
115,1,R1_CHECK1,ADD_STOP,20:44:00,,#
116,1,R1_CHECK1,REMOVE_STOP,20:47:00,,#
117,1,R1_CHECK1,ADD_STOP,20:48:00,,#
118,1,R1_CHECK1,REMOVE_STOP,20:51:00,,#
119,1,R1_CHECK1,ADD_STOP,20:52:00,,#
120,1,R1_CHECK1,REMOVE_STOP,20:55:00,,#
121,1,R1_CHECK1,ADD_STOP,20:56:00,,#
122,1,R1_CHECK1,REMOVE_STOP,20:59:00,,#
123,1,R1_CHECK1,ADD_STOP,21:00:00,,#
124,1,R1_CHECK1,REMOVE_STOP,21:03:00,,#
125,1,R1_CHECK1,ADD_STOP,21:04:00,,#
126,1,R1_CHECK1,REMOVE_STOP,21:07:00,,#
127,1,R1_CHECK1,ADD_STOP,21:08:00,,#
128,1,R1_CHECK1,REMOVE_STOP,21:11:00,,#
129,1,R1_CHECK1,ADD_STOP,21:12:00,,#
130,1,R1_CHECK1,REMOVE_STOP,21:15:00,,#
131,1,R1_CHECK1,ADD_STOP,21:16:00,,#
132,1,R1_CHECK1,REMOVE_STOP,21:19:00,,#
133,1,R1_CHECK1,ADD_STOP,21:20:00,,#
134,1,R1_CHECK1,REMOVE_STOP,21:23:00,,#
135,1,R1_CHECK1,ADD_STOP,21:24:00,,#
136,1,R1_CHECK1,REMOVE_STOP,21:27:00,,#
137,1,R1_CHECK1,ADD_STOP,21:28:00,,#
138,1,R1_CHECK1,REMOVE_STOP,21:31:00,,#
139,1,R1_CHECK1,ADD_STOP,21:32:00,,#
140,1,R1_CHECK1,REMOVE_STOP,21:35:00,,#
141,1,R1_CHECK1,ADD_STOP,21:36:00,,#
142,1,R1_CHECK1,REMOVE_STOP,21:39:00,,#
143,1,R1_CHECK1,ADD_STOP,21:40:00,,#
144,1,R1_CHECK1,REMOVE_STOP,21:43:00,,#
145,1,R1_CHECK1,REMOVE_STOP,21:44:00,,#
146,1,R1_CHECK1,ADD_STOP,21:47:00,,#
147,1,R1_CHECK1,REMOVE_STOP,21:48:00,,#
148,1,R1_CHECK1,ADD_STOP,21:51:00,,#
149,1,R1_CHECK1,REMOVE_STOP,21:52:00,,#
150,1,R1_CHECK1,ADD_STOP,21:55:00,,#
151,1,R1_CHECK1,REMOVE_STOP,21:56:00,,#
152,1,R1_CHECK1,ADD_STOP,21:59:00,,#
153,1,R1_CHECK1,REMOVE_STOP,22:00:00,,#
154,1,R1_CHECK1,ADD_STOP,22:03:00,,#
155,1,R1_CHECK1,REMOVE_STOP,22:04:00,,#
156,1,R1_CHECK1,ADD_STOP,22:07:00,,#
157,1,R1_CHECK1,REMOVE_STOP,22:08:00,,#
158,1,R1_CHECK1,REMOVE_STOP,22:11:00,,#
159,1,R1_CHECK1,ADD_STOP,22:12:00,,#
160,1,R1_CHECK1,REMOVE_STOP,22:15:00,,#
161,1,R1_CHECK1,ADD_STOP,22:16:00,,#
162,1,R1_CHECK1,REMOVE_STOP,22:19:00,,#
163,1,R2_CHECK3,REMOVE_STOP,20:32:30,,#
164,1,R2_CHECK3,ADD_STOP,20:33:30,,#
165,1,R2_CHECK3,REMOVE_STOP,20:36:30,,#
166,1,R2_CHECK3,ADD_STOP,20:37:30,,#
167,1,R2_CHECK3,REMOVE_STOP,20:40:30,,#
168,1,R2_CHECK3,ADD_STOP,20:41:30,,#
169,1,R2_CHECK3,REMOVE_STOP,20:44:30,,#
170,1,R2_CHECK3,ADD_STOP,20:45:30,,#
171,1,R2_CHECK3,REMOVE_STOP,20:48:30,,#
