pedestrianID,pedestrian_moving_model,generated_time,current_traveling_period,generated_position,died_position,distnation_nodeID,assigned_passage_nodes,status
ag00040,Plain,116,1.0,48.86887162472806,0.0,100,,evacuated
ag00143,Plain,364,1.0,29.60609468570256,0.0,100,,evacuated
ag00043,Plain,120,1.0,42.365092418005766,0.0,100,,evacuated
ag00042,Plain,119,1.0,65.15962585543923,0.0,100,,evacuated
ag00045,Plain,122,1.0,72.05594446611067,0.0,100,,evacuated
ag00140,Plain,360,1.0,12.413868319532554,0.0,100,,evacuated
ag00044,Plain,121,1.0,0.5847412386930273,0.0,100,,evacuated
ag00047,Plain,124,1.0,41.95339370109944,0.0,100,,evacuated
ag00046,Plain,124,1.0,39.83129657996809,0.0,100,,evacuated
ag00049,Plain,131,1.0,88.46778024103541,0.0,100,,evacuated
ag00048,Plain,130,1.0,30.013677137172877,0.0,100,,evacuated
ag00017,Plain,50,1.0,66.36461136470865,0.0,100,,evacuated
ag00018,Plain,56,1.0,1.0864998137056858,0.0,100,,evacuated
ag00019,Plain,58,1.0,96.23351413951656,0.0,100,,evacuated
ag00039,Plain,114,1.0,90.8363213789966,0.0,100,,evacuated
ag00030,Plain,91,1.0,3.7891833188494672,0.0,100,,evacuated
ag00177,Plain,433,1.0,94.953313038093,0.0,96,,evacuated
ag00176,Plain,432,1.0,45.675305773455555,0.0,100,,evacuated
ag00175,Plain,431,1.0,80.12859163048081,0.0,100,,evacuated
ag00174,Plain,428,1.0,89.1176314671087,0.0,100,,evacuated
ag00179,Plain,440,1.0,63.17867977153565,0.0,96,,evacuated
ag00178,Plain,438,1.0,65.46858577410711,0.0,100,,evacuated
ag00014,Plain,38,1.0,83.1776295140725,0.0,100,,evacuated
ag00038,Plain,108,1.0,86.43612409524066,0.0,100,,evacuated
ag00013,Plain,37,1.0,69.02661598340137,0.0,100,,evacuated
ag00037,Plain,106,1.0,53.15408963090105,0.0,100,,evacuated
ag00016,Plain,40,1.0,4.084915686014128,0.0,100,,evacuated
ag00036,Plain,99,1.0,65.3714019967366,0.0,100,,evacuated
ag00015,Plain,38,1.0,40.57874521185328,0.0,100,,evacuated
ag00035,Plain,98,1.0,67.08103368389183,0.0,100,,evacuated
ag00010,Plain,30,1.0,38.118991921075256,0.0,100,,evacuated
ag00034,Plain,96,1.0,53.12287109552068,0.0,100,,evacuated
ag00173,Plain,421,1.0,32.38153959114818,0.0,96,,evacuated
ag00033,Plain,95,1.0,10.326088950157157,0.0,100,,evacuated
ag00172,Plain,420,1.0,7.982116221038524,0.0,96,,evacuated
ag00012,Plain,33,1.0,51.98967475998617,0.0,100,,evacuated
ag00032,Plain,95,1.0,37.38252066323862,0.0,100,,evacuated
ag00171,Plain,419,1.0,17.395665432553585,0.0,96,,evacuated
ag00011,Plain,31,1.0,13.772207669839645,0.0,100,,evacuated
ag00031,Plain,94,1.0,30.935993230105566,0.0,100,,evacuated
ag00170,Plain,418,1.0,46.18395832947599,0.0,100,,evacuated
ag00008,Plain,24,1.0,93.50366245242282,0.0,100,,evacuated
ag00028,Plain,83,1.0,74.03387518842828,0.0,100,,evacuated
ag00009,Plain,27,1.0,77.53859749916094,0.0,100,,evacuated
ag00029,Plain,89,1.0,88.7629543096585,0.0,100,,evacuated
ag00006,Plain,18,1.0,0.8223790319546538,0.0,100,,evacuated
ag00007,Plain,23,1.0,37.08562709176805,0.0,100,,evacuated
ag00164,Plain,410,1.0,97.52459119088567,0.0,100,,evacuated
ag00163,Plain,409,1.0,24.0883847173328,0.0,100,,evacuated
ag00166,Plain,413,1.0,5.118288211503412,0.0,100,,evacuated
ag00165,Plain,411,1.0,52.59919895088313,0.0,100,,evacuated
ag00168,Plain,416,1.0,11.830266101160973,0.0,96,,evacuated
ag00167,Plain,415,1.0,17.475288001363296,0.0,96,,evacuated
ag00169,Plain,417,1.0,98.85231524027746,0.0,100,,evacuated
ag00005,Plain,16,1.0,43.59368108132156,0.0,100,,evacuated
ag00025,Plain,73,1.0,78.68588738602179,0.0,100,,evacuated
ag00004,Plain,15,1.0,13.751686449513755,0.0,100,,evacuated
ag00024,Plain,70,1.0,3.6969289221363653,0.0,100,,evacuated
ag00003,Plain,11,1.0,23.53581045991845,0.0,100,,evacuated
ag00027,Plain,78,1.0,20.282039464102525,0.0,100,,evacuated
ag00002,Plain,3,1.0,24.105020444171075,0.0,100,,evacuated
ag00026,Plain,74,1.0,67.07670659839278,0.0,100,,evacuated
ag00021,Plain,66,1.0,31.37809542546185,0.0,100,,evacuated
ag00001,Plain,1,1.0,66.34747637855088,0.0,91,,evacuated
ag00160,Plain,403,1.0,27.5106712700359,0.0,100,,evacuated
ag00020,Plain,60,1.0,32.98560696848831,0.0,100,,evacuated
ag00000,Plain,0,1.0,1.7945064899471959,0.0,100,,evacuated
ag00023,Plain,69,1.0,35.57098917108824,0.0,100,,evacuated
ag00162,Plain,406,1.0,94.28918739072031,0.0,96,,evacuated
ag00022,Plain,68,1.0,79.78568756684294,0.0,100,,evacuated
ag00161,Plain,404,1.0,18.677056659437298,0.0,96,,evacuated
ag00125,Plain,298,1.0,43.78235272730859,0.0,100,,evacuated
ag00126,Plain,301,1.0,6.568653697811143,0.0,100,,evacuated
ag00123,Plain,293,1.0,39.462368820100906,0.0,100,,evacuated
ag00124,Plain,294,1.0,89.55418528929201,0.0,100,,evacuated
ag00121,Plain,286,1.0,13.11359233037615,0.0,100,,evacuated
ag00122,Plain,291,1.0,49.38577367524574,0.0,100,,evacuated
ag00120,Plain,285,1.0,11.882186648957088,0.0,100,,evacuated
ag00129,Plain,318,1.0,74.637167602502,0.0,100,,evacuated
ag00128,Plain,311,1.0,11.56575173950823,0.0,100,,evacuated
ag00127,Plain,306,1.0,78.78084260888986,0.0,100,,evacuated
ag00134,Plain,336,1.0,83.13306179146005,0.0,96,,evacuated
ag00135,Plain,339,1.0,38.4308817939726,0.0,100,,evacuated
ag00136,Plain,339,1.0,57.49696018600377,0.0,100,,evacuated
ag00137,Plain,342,1.0,91.40929372716234,0.0,100,,evacuated
ag00130,Plain,319,1.0,74.58204354149046,0.0,100,,evacuated
ag00131,Plain,322,1.0,92.45291646982061,0.0,100,,evacuated
ag00132,Plain,330,1.0,64.07741800166613,0.0,100,,evacuated
ag00133,Plain,332,1.0,31.937222990746434,0.0,100,,evacuated
ag00139,Plain,356,1.0,91.69163188847266,0.0,100,,evacuated
ag00138,Plain,349,1.0,96.01482820735096,0.0,96,,evacuated
ag00100,Plain,249,1.0,58.2226883136329,0.0,100,,evacuated
ag00103,Plain,253,1.0,25.029846014777803,0.0,100,,evacuated
ag00104,Plain,254,1.0,94.21616668771922,0.0,100,,evacuated
ag00101,Plain,249,1.0,97.45928794263595,0.0,100,,evacuated
