53395555211   0.119
53395555212   0.548
53395555221   0.539
53395555222   0.264
53395556111   0.678
53395545344   0.369
53395545433   0.714
53395545434   0.971
53395545443   0.627
53395546333   0.249
53395546334   0.571
53395545341   0.152
53395545342   0.860
53395545431   1.126
53395545432   1.114
53395545441   0.909
53395545442   0.205
53395546331   0.389
53395546332   0.368
53395546341   0.599
53395545323   0.387
53395545324   0.742
53395545413   1.308
53395545414   1.130
53395545423   1.152
53395545424   0.562
53395546313   0.645
53395546314   0.599
53395546323   0.590
53395546324   0.590
53395545321   0.653
53395545322   0.714
53395545411   0.638
53395545412   0.689
53395545421   0.920
53395545422   0.400
53395546311   0.505
53395546312   0.501
53395546321   0.605
53395546322   0.891
53395546411   0.114
53395545143   0.131
53395545144   0.353
53395545234   0.282
53395545243   0.623
53395545244   0.308
53395546133   0.298
53395546134   0.456
53395546143   0.731
53395546144   0.882
53395546233   0.845
53395546234   0.662
53395544232   0.117
53395544241   0.425
53395544242   0.379
53395545131   0.182
53395545132   0.287
53395545142   0.944
53395545231   3.730
53395545232   4.067
53395545241   0.668
53395545242   0.376
53395546141   0.551
53395546142   0.894
53395546231   1.000
53395546232   1.330
53395546241   0.917
53395546242   0.627
53395547131   0.803
53395547132   0.878
53395544213   0.295
53395544214   0.198
53395544223   0.316
53395544224   0.781
53395545113   0.625
53395545114   0.868
53395545123   0.160
53395545124   0.315
53395545213   2.392
53395545214   1.929
53395545223   0.836
53395546113   0.259
53395546123   0.697
53395546124   1.225
53395546213   1.181
53395546214   1.496
53395546223   0.339
53395546224   1.729
53395547113   2.631
53395547114   2.804
53395547123   2.745
53395547124   2.684
53395547213   2.726
53395547214   3.472
53395547223   4.011
53395547224   4.114
53395548113   3.954
53395548114   3.664
53395544122   0.273
53395544211   0.795
53395544212   0.659
53395544221   0.726
53395544222   0.801
53395545111   0.446
53395545112   0.285
53395545121   0.224
53395545122   0.363
53395545211   0.539
53395545212   0.700
53395545221   0.978
53395545222   0.228
53395546111   0.512
53395546112   0.615
53395546121   1.124
53395546122   1.314
53395546211   1.265
53395546212   1.196
53395546221   3.160
